node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Carlos Chagas,,3113701,0.15032680,0.00000000,4,1
Machacalis,,3138906,0.07407407,0.00000000,6,2
Crisólita,,3120151,0.06862745,0.00000000,4,3
Umburatiba,,3170305,0.06862745,0.00000000,4,4
Nanuque,,3144300,0.05882353,0.00000000,2,5
Ituiutaba,,3134202,0.03921569,0.00000000,3,6
Capinópolis,,3112604,0.02614379,0.00000000,2,7
Bertópolis,,3106606,0.01198257,0.00000000,3,8
Águas Formosas,,3100906,0.01198257,0.08700000,3,9
Gurinhatã,,3129103,0.00980392,0.00000000,3,10
Ipiaçu,,3131406,0.00980392,0.00000000,3,11
Fronteira dos Vales,,3127057,0.00326797,0.00000000,3,12
Santa Helena de Minas,,3157658,0.00326797,0.00000000,3,13
Setubinha,,3165552,0.00000000,0.16400000,0,14
Cachoeira Dourada,,3109808,0.00000000,0.00000000,1,15
Teófilo Otoni,,3168606,0.00000000,0.04500000,1,16
Araguari,,3103504,0.00000000,0.01300000,0,17
Serra dos Aimorés,,3166709,0.00000000,0.00000000,1,18
Santa Vitória,,3159803,0.00000000,0.00000000,2,19
