node_id,city,geocode,betweenness_centrality,femicide_rate_normalized,degree,bc_rank
Uberaba,,3170107,0.46192060,0.01300000,8,1
Sacramento,,3156908,0.35207448,0.12400000,7,2
Tiros,,3168903,0.32744540,0.19700000,4,3
Perdizes,,3149804,0.31800093,0.17800000,6,4
Serra do Salitre,,3166808,0.31062681,0.00000000,6,5
Cedro do Abaeté,,3115607,0.30007825,0.00000000,2,6
Abaeté,,3100203,0.29225352,0.00000000,3,7
Carmo do Paranaíba,,3114303,0.26498562,0.05600000,6,8
Pompéu,,3152006,0.20031299,0.05300000,2,9
Curvelo,,3120904,0.18114241,0.01900000,4,10
Uberlândia,,3170206,0.17692078,0.02000000,4,11
Prata,,3152808,0.16530572,0.05600000,5,12
Nova Ponte,,3145000,0.15462031,0.00000000,6,13
Campina Verde,,3111101,0.14079477,0.00000000,5,14
Conceição das Alagoas,,3117306,0.11622233,0.12100000,6,15
Monte Carmelo,,3143104,0.10379288,0.06800000,8,16
Veríssimo,,3171105,0.09807735,0.00000000,4,17
Corinto,,3119104,0.09409233,0.00000000,3,18
Patos de Minas,,3148004,0.09349294,0.06000000,6,19
Ibiá,,3129509,0.08483282,0.00000000,6,20
Patrocínio,,3148103,0.07675447,0.01700000,6,21
Coromandel,,3119302,0.07509154,0.00000000,5,22
Monte Alegre de Minas,,3142809,0.07275691,0.08000000,6,23
Estrela do Sul,,3124807,0.07051289,0.23900000,5,24
Iraí de Minas,,3131604,0.05607161,0.00000000,4,25
Iturama,,3134400,0.05477308,0.04200000,4,26
Augusto de Lima,,3104809,0.05477308,0.00000000,2,27
Paineiras,,3146404,0.05477308,0.00000000,2,28
Campos Altos,,3111507,0.04378798,0.00000000,5,29
Campo Florido,,3111408,0.04145894,0.00000000,5,30
Frutal,,3127107,0.04017438,0.02500000,5,31
Rio Paranaíba,,3155504,0.03468318,0.00000000,5,32
Santa Juliana,,3157708,0.03310139,0.00000000,4,33
Biquinhas,,3107000,0.02777778,0.00000000,2,34
Buenópolis,,3109204,0.02777778,0.17700000,2,35
Pirajuba,,3150703,0.02739027,0.00000000,4,36
São Gotardo,,3162104,0.02614458,0.11700000,4,37
Planura,,3151602,0.02444947,0.00000000,3,38
Araxá,,3104007,0.02087153,0.02800000,4,39
Tapira,,3168101,0.02025859,0.00000000,3,40
Matutina,,3141207,0.01741019,0.00000000,2,41
Felixlândia,,3125705,0.01310642,0.00000000,2,42
Itapagipe,,3133402,0.01301326,0.00000000,4,43
Guimarânia,,3128907,0.01134492,0.00000000,4,44
Tupaciguara,,3169604,0.01034820,0.00000000,3,45
Comendador Gomes,,3116902,0.00994113,0.00000000,3,46
Conquista,,3118205,0.00679447,0.00000000,3,47
Cruzeiro da Fortaleza,,3120706,0.00358633,0.00000000,3,48
Três Marias,,3169356,0.00078247,0.00000000,2,49
Romaria,,3156403,0.00026082,0.00000000,3,50
Centralina,,3115805,0.00019562,0.00000000,3,51
Araporã,,3103751,0.00019562,0.18800000,3,52
Arapuá,,3103801,0.00000000,0.00000000,2,53
Douradoquara,,3123502,0.00000000,0.00000000,1,54
Abadia dos Dourados,,3100104,0.00000000,0.00000000,2,55
Fronteira,,3127008,0.00000000,0.00000000,1,56
Pratinha,,3153004,0.00000000,0.00000000,2,57
União de Minas,,3170438,0.00000000,0.00000000,2,58
Delta,,3121258,0.00000000,0.00000000,2,59
Limeira do Oeste,,3138625,0.00000000,0.00000000,2,60
Lagoa Formosa,,3137502,0.00000000,0.08400000,2,61
Indianópolis,,3130705,0.00000000,0.00000000,1,62
Carneirinho,,3114550,0.00000000,0.00000000,2,63
Cascalho Rico,,3115003,0.00000000,0.00000000,1,64
Grupiara,,3127909,0.00000000,0.00000000,2,65
São Francisco de Sales,,3161304,0.00000000,0.00000000,2,66
Canápolis,,3111804,0.00000000,0.00000000,2,67
Santa Rosa da Serra,,3159704,0.00000000,0.00000000,2,68
Morada Nova de Minas,,3143500,0.00000000,0.00000000,1,69
Água Comprida,,3100708,0.00000000,0.00000000,2,70
Pedrinópolis,,3149200,0.00000000,0.00000000,1,71
Inimutaba,,3131109,0.00000000,0.00000000,1,72
Joaquim Felício,,3136405,0.00000000,0.00000000,1,73
